Zaman_Adimi,Yil,Ay,Tarih,NDWI
54,1990,5,1990-05,-0.20209550674994964
55,1990,6,1990-06,-0.19325163138628043
56,1990,7,1990-07,-0.1757822277847309
57,1990,8,1990-08,-0.1815558420826426
58,1990,9,1990-09,-0.17146409698476842
59,1990,10,1990-10,-0.14782442261069287
60,1990,11,1990-11,-0.13106237578884977
61,1990,12,1990-12,-0.07547578792213985
62,1991,1,1991-01,-0.08010931761892562
63,1991,3,1991-03,-0.11398558902682525
64,1991,4,1991-04,-0.05529885228797138
65,1991,5,1991-05,-0.17224162070070678
66,1991,6,1991-06,-0.163624637213802
67,1991,7,1991-07,-0.15249679497201463
68,1991,8,1991-08,-0.15428870292887029
69,1991,9,1991-09,-0.1581235889288402
70,1991,10,1991-10,-0.15763464556412568
71,1991,11,1991-11,-0.1570529058406311
72,1991,12,1991-12,-0.08036033009260231
73,1992,3,1992-03,-0.013225298824789901
74,1992,4,1992-04,-0.18441639180064587
75,1992,5,1992-05,-0.07729796933278077
76,1992,6,1992-06,-0.17287610321363606
77,1992,7,1992-07,-0.19702626367561601
78,1992,8,1992-08,-0.1691599158424863
79,1992,9,1992-09,-0.170509197282959
80,1992,10,1992-10,-0.16448847896229182
81,1992,11,1992-11,-0.17622340891184451
82,1992,12,1992-12,-0.07553465187329153
83,1993,1,1993-01,-0.15985246802165895
84,1993,2,1993-02,-0.08929327126534067
85,1993,3,1993-03,-0.172506347479144
86,1993,4,1993-04,-0.16227792468993257
87,1993,5,1993-05,-0.07386872439744689
88,1993,6,1993-06,-0.17325162991200257
89,1993,7,1993-07,-0.1372867287651019
90,1993,8,1993-08,-0.18090469978493107
91,1993,9,1993-09,-0.1800354646917701
92,1993,10,1993-10,-0.1298133079923185
93,1993,12,1993-12,-0.12808701215611004
94,1994,1,1994-01,-0.10551486428263679
95,1994,3,1994-03,-0.12172767784653689
96,1994,4,1994-04,-0.15389744849612186
97,1994,5,1994-05,-0.13685237584154553
98,1994,6,1994-06,-0.17084778027058264
99,1994,7,1994-07,-0.16180297720254
100,1994,8,1994-08,-0.17594567107378367
101,1994,9,1994-09,-0.17278871098332754
102,1994,10,1994-10,-0.16203466141393408
103,1994,12,1994-12,-0.11581815929642017
104,1995,1,1995-01,-0.1299361958958441
105,1995,3,1995-03,-0.16822429906542055
106,1995,4,1995-04,-0.1908978283049118
107,1995,5,1995-05,-0.16900786938295212
108,1995,6,1995-06,-0.191704803430507
109,1995,7,1995-07,-0.20431257835353114
110,1995,8,1995-08,-0.19071079041220868
111,1995,9,1995-09,-0.19767978379803572
112,1995,10,1995-10,-0.15604956512978946
113,1995,11,1995-11,-0.09947774185525989
114,1996,1,1996-01,-0.12313706327876862
115,1996,4,1996-04,-0.19105552912390403
116,1996,5,1996-05,-0.17290847887770747
117,1996,6,1996-06,-0.18201507407086545
118,1996,7,1996-07,-0.15874820599802428
119,1996,8,1996-08,-0.1397588108815556
120,1996,9,1996-09,-0.14174165241317765
121,1996,10,1996-10,-0.1550860197093703
122,1996,11,1996-11,-0.15490077261021057
123,1997,1,1997-01,-0.16612017540394264
124,1997,3,1997-03,-0.1469690029012063
125,1997,4,1997-04,-0.18537018172258551
126,1997,5,1997-05,-0.1724150623918725
127,1997,6,1997-06,-0.13028413028413027
128,1997,7,1997-07,-0.16850105301712298
129,1997,8,1997-08,-0.1655915568452766
130,1997,9,1997-09,-0.10861945636623749
